Id,FirstName,SecondName,ThirdName,SLUSort,Surcharge,DefinitionOptionBits,SpecialCount,Icon,Tare,PrepTime,NLU,MoveFlag,NLUGroup,SLU,MobileSLU,MainMenuLevel,SubMenuLevel,PrefixLevelOverride,PrintClassOverride,MenuItemClass,LongDescriptor,Quantity,HierarchyId,DefinitionSequence,MenuItemMasterId,SORT_ORDER,CONDIMENT_MAX,ConsumerFacingName,ConsumerFacingDescription,ConsumerFacingImageDetails,DAYPARTS,STARBUCKS_ITEM,FLO_UI_CREW_MEAL,ALLEGRO_ITEM_ID,,,,,,,,,,,
26730,No Avocado,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90034,,1,448,1,16276,,,,,,,,,RC006080,,,,,,,,,,,
26731,Salsa Verde,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90034,,1,448,1,16234,,,,,,,,,RC008359,,,,,,,,,,,
26732,Salsa Roja,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90034,,1,448,1,16277,,,,,,,,,RC004362,,,,,,,,,,,
26733,No Cilantro,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90034,,1,448,1,16278,,,,,,,,,RC005526,,,,,,,,,,,
26734,No Crema,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90034,,1,448,1,16279,,,,,,,,,RC002999,,,,,,,,,,,
26735,Rice & Beans ,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90034,,1,448,1,16280,,,,,,,,,RC008476,,,,,,,,,,,
26736,CG 35 *TACO MODS*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16235,,,,,,,,,,,,,,,,,,,,
26737,Add Sour Cream,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90035,,1,448,1,16281,,,,,,,,,RC005488,,,,,,,,,,,
26738,Add Guacamole,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90035,,1,448,1,16283,,,,,,,,,RC001227,,,,,,,,,,,
26739,Salsa Verde,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90035,,1,448,1,16284,,,,,,,,,RC008359,,,,,,,,,,,
26740,Salsa Roja,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90035,,1,448,1,16285,,,,,,,,,RC004362,,,,,,,,,,,
26741,Queso Sauce,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90035,,1,448,1,16286,,,,,,,,,RC003328,,,,,,,,,,,
26742,Refried Beans,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90035,,1,448,1,16302,,,,,,,,,RC003500,,,,,,,,,,,
26743,Cilantro,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90035,,1,448,1,16303,,,,,,,,,RC004221,,,,,,,,,,,
26744,Make it Impossible,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90035,,1,448,1,16287,,,,,,,,,RC001496,,,,,,,,,,,
26745,Pineapple,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90035,,1,448,1,16288,,,,,,,,,RC004531,,,,,,,,,,,
26746,Pickled Onions,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90035,,1,448,1,16289,,,,,,,,,RC006046,,,,,,,,,,,
26747,CG 37 *TORTILLA CHOICE*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16290,,,,,,,,,,,,,,,,,,,,
26748,No Tortillas,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90037,,1,448,1,16304,,,,,,,,,RC005612,,,,,,,,,,,
26749,Corn Tortilla (Tacos),,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90037,,1,448,1,16291,,,,,,,,,RC008853,,,,,,,,,,,
26750,Flour Tortilla (Tacos),,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90037,,1,448,1,16305,,,,,,,,,RC008855,,,,,,,,,,,
26751,CG 38 *QUESADILLA MODS*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16292,,,,,,,,,,,,,,,,,,,,
