Id,MasterName,ReportGroup,Status,MajorGroup,FamilyGroup,RecipeLink,MenuItemName,ObjectNumber,HierarchyId,LP_DontPrintWhenNOPrefix,LP_PrintQuantityAlways,LP_FlavourItem,LP_DoNotPrintWhenDisplayInDefaultState,LP_SugarCaneItem,LP_PrintInDefaultState
17806,165018,0,"00000000	",1000,10009,,Kids Small Cheeseburger & Fries,41260041,42,,,,,,
19599,167354,0,"00000000	",1000,10009,,Small Chicken Fried Rice,41260042,42,,,,,,
19600,167356,0,"00000000	",1000,10005,,Miso Salmon Bowl,41260043,42,,,,,,
17807,165020,0,"00000000	",1000,10001,,Miso Soup,41260044,42,,,,,,
17808,165022,0,"00000000	",1000,10001,,Mixed Greens Salad,41260045,42,,,,,,
19601,167358,0,"00000000	",1000,10015,,Pancakes,41260046,42,,,,,,
17809,165024,0,"00000000	",1000,10001,,Pork & Vegetable Dumplings,41260047,42,,,,,,
17810,165026,0,"00000000	",1000,10005,,Pork Tonkatsu Ramen,41260048,42,,,,,,
19602,167360,0,"00000000	",1000,10015,,"Sausage, Egg & Cheese Sandwich",41260049,42,,,,,,
19603,167362,0,"00000000	",1000,10012,,Shrimp Fried Rice,41260050,42,,,,,,
19604,167364,0,"00000000	",1000,10005,,Shrimp Stir-Fry Bowl,41260051,42,,,,,,
19605,167366,0,"00000000	",1000,10005,,Sliced Beef Stir-Fry Bowl,41260052,42,,,,,,
19606,167368,0,"00000000	",1000,10005,,Smoked Brisket Bowl,41260053,42,,,,,,
17811,165028,0,"00000000	",1000,10012,,Smoked Brisket Fried Rice,41260054,42,,,,,,
19607,167370,0,"00000000	",1000,10011,,Spicy Japanese Chicken Sandwich,41260055,42,,,,,,
17812,165030,0,"00000000	",1000,10015,,Steel Cut Oatmeal,41260056,42,,,,,,
17813,165032,0,"00000000	",1000,10005,,Sweet & Sour Chicken Bowl,41260057,42,,,,,,
19608,167372,0,"00000000	",1000,10011,,Teriyaki Cheesesteak,41260058,42,,,,,,
19609,167374,0,"00000000	",1000,10005,,Thai Style Vegan Ramen,41260059,42,,,,,,
17814,165034,0,"00000000	",1000,10015,,Toast,41260060,42,,,,,,
